Construction;Sentence;agent;motion;figure;relation;prep/ground;source;path/via;goal
motion;The delivery truck zoomed by the school bus becauseæitæwas going so fast.;;zoomed;delivery truck;;by/school bus;['unknown'];['a new point near from school bus'];['unknown']
motion;The delivery truck zoomed by the school bus becauseæitæwas going so slow.;;zoomed;delivery truck;;by/school bus;['unknown'];['a new point near from school bus'];['unknown']
motion;The large ball crashed right through the table becauseæitæwas made of steel.;;crashed;large ball;;through/table;['one side of table'];['a new point inside of table'];['the other side of table']
motion;The large ball crashed right through the table becauseæitæwas made of styrofoam.;;crashed;large ball;;through/table;['one side of table'];['a new point inside of table'];['the other side of table']
locative;John couldn't see the stage with Billy in front of him becauseæheæis so short.;;crashed;['Billy'];in front of;['him'];['one side of table'];['a new point inside of table'];['the other side of table']
locative;John couldn't see the stage with Billy in front of him becauseæheæis so tall.;;crashed;['Billy'];in front of;['him'];['one side of table'];['a new point inside of table'];['the other side of table']
motion;Tom threw his schoolbag down to Ray afteræheæreached the top of the stairs.;Tom;threw;his schoolbag;in front of;down/Ray,to/Ray;['higher place'];['unknown'];['Ray', 'lower place']
motion;Tom threw his schoolbag down to Ray afteræheæreached the bottom of the stairs.;Tom;threw;his schoolbag;in front of;down/Ray,to/Ray;['higher place'];['unknown'];['Ray', 'lower place']
motion;The sculpture rolled off the shelf becauseæitæwasn't anchored.;;rolled;sculpture;in front of;off/shelf;[];[];[]
motion;The sculpture rolled off the shelf becauseæitæwasn't level.;;rolled;sculpture;in front of;off/shelf;[];[];[]
motion;Sam's drawing was hung just above Tina's andæitædid look much better with another one below it.;;hung;Sam's drawing;in front of;above/Tina's;[];[];[]
locative;Sam's drawing was hung just above Tina's andæitædid look much better with another one below it.;;hung;['one'];below;['it'];[];[];[]
motion;Sam's drawing was hung just above Tina's andæitædid look much better with another one above it.;;hung;Sam's drawing;below;above/Tina's;[];[];[]
locative;Sam's drawing was hung just above Tina's andæitædid look much better with another one above it.;;hung;['one'];above;['it'];[];[];[]
motion;The sack of potatoes had been placed above the bag of flour, soæitæhad to be moved first.;;placed;sack of potatoes;above;above/bag of flour;[];[];[]
motion;The sack of potatoes had been placed below the bag of flour, soæitæhad to be moved first.;;placed;sack of potatoes;above;below/bag of flour;[];[];[]
motion;I poured water from the bottle into the cup untilæitæwas empty.;I;poured;water;above;from/bottle,into/cup;['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
motion;I poured water from the bottle into the cup untilæitæwas full.;I;poured;water;above;from/bottle,into/cup;['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;The painting in Mark's living room shows an oak tree.æItæis to the right of the bookcase.;I;poured;['painting'];in;"[""Mark's room""]";['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;The painting in Mark's living room shows an oak tree.æItæis to the right of the bookcase.;I;poured;['It'];to the right of;['bookcase'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;The painting in Mark's living room shows an oak tree.æItæis to the right of a house.;I;poured;['painting'];in;"[""Mark's room""]";['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;The painting in Mark's living room shows an oak tree.æItæis to the right of a house.;I;poured;['It'];to the right of;['house'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;There is a gap in the wall. You can see the garden throughæit.;I;poured;['gap'];in;['wall'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;There is a gap in the wall. You can see the garden behindæit.;I;poured;['gap'];in;['wall'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;There is a gap in the wall. You can see the garden behindæit.;I;poured;['garden'];behind;['it'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;There is a pillar between me and the stage, and I can't see aroundæit.;I;poured;['pillar'];between;['me'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
locative;There is a pillar between me and the stage, and I can't seeæit.;I;poured;['pillar'];between;['me'];['exterior of cup', 'bottle'];['portal of cup'];['interior of cup']
motion;I used an old rag to clean the knife, and then I putæitæin the trash.;I;put;it;between;in/trash;['exterior of trash'];['portal of trash'];['interior of trash']
motion;I used an old rag to clean the knife, and then I putæitæin the drawer.;I;put;it;between;in/drawer;['exterior of drawer'];['portal of drawer'];['interior of drawer']
motion;I took the water bottle out of the backpack so thatæitæwould be handy.;I;took;water bottle;between;out of/backpack;['interior of backpack'];['portal of backpack'];['exterior of backpack']
motion;I took the water bottle out of the backpack so thatæitæwould be lighter.;I;took;water bottle;between;out of/backpack;['interior of backpack'];['portal of backpack'];['exterior of backpack']
motion;I couldn't put the pot on the shelf becauseæitæwas too tall.;I;put;pot;between;on/shelf;[];[];[]
motion;I couldn't put the pot on the shelf becauseæitæwas too high.;I;put;pot;between;on/shelf;[];[];[]
locative;The cat was lying by the mouse hole waiting for the mouse, butæitæwas too impatient.;I;put;['cat'];by;['mouse hole'];[];[];[]
locative;The cat was lying by the mouse hole waiting for the mouse, butæitæwas too cautious.;I;put;['cat'];by;['mouse hole'];[];[];[]
motion;I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't getæitæin.;I;get;it;by;;['exterior of unknown ground'];['portal of unknown ground'];['interior of unknown ground']
motion;I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't getæitæout.;I;get;it;by;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;The dog chased the cat, which ran up a tree.æItæwaited at the bottom.;;ran;cat;by;up/tree;['lower place'];['unknown'];['higher place']
locative;The dog chased the cat, which ran up a tree.æItæwaited at the bottom.;;ran;['It'];at;['bottom'];['lower place'];['unknown'];['higher place']
motion;The dog chased the cat, which ran up a tree.æItæwaited at the top.;;ran;cat;at;up/tree;['lower place'];['unknown'];['higher place']
locative;The dog chased the cat, which ran up a tree.æItæwaited at the top.;;ran;['It'];at;['top'];['lower place'];['unknown'];['higher place']
motion;In the storm, the tree fell down and crashed through the roof of my house. Now, I have to getæitæremoved.;;fell;tree;at;;['higher place'];['unknown'];['lower place']
motion;In the storm, the tree fell down and crashed through the roof of my house. Now, I have to getæitæremoved.;;crashed;tree;at;through/roof of my house;['one side of roof of my house'];['a new point inside of roof of my house'];['the other side of roof of my house']
motion;In the storm, the tree fell down and crashed through the roof of my house. Now, I have to getæitærepaired.;;fell;tree;at;;['higher place'];['unknown'];['lower place']
motion;In the storm, the tree fell down and crashed through the roof of my house. Now, I have to getæitærepaired.;;crashed;tree;at;through/roof of my house;['one side of roof of my house'];['a new point inside of roof of my house'];['the other side of roof of my house']
motion;The customer walked into the bank and stabbed one of the tellers.æHeæwas immediately taken to the police station.;;walked;customer;at;into/bank;['exterior of bank'];['portal of bank'];['interior of bank']
motion;The customer walked into the bank and stabbed one of the tellers.æHeæwas immediately taken to the police station.;;taken;He;at;to/police station;['unknown'];['unknown'];['police station']
motion;The customer walked into the bank and stabbed one of the tellers.æHeæwas immediately taken to the hospital.;;walked;customer;at;into/bank;['exterior of bank'];['portal of bank'];['interior of bank']
motion;The customer walked into the bank and stabbed one of the tellers.æHeæwas immediately taken to the hospital.;;taken;He;at;to/hospital;['unknown'];['unknown'];['hospital']
motion;Joe has sold his house and bought a new one a few miles away. He will be moving out ofæitæon Thursday.;;moving;He;at;out of/it;['interior of it'];['portal of it'];['exterior of it']
motion;Joe has sold his house and bought a new one a few miles away. He will be moving intoæitæon Thursday.;;moving;He;at;into/it;['exterior of it'];['portal of it'];['interior of it']
motion;Sam pulled up a chair to the piano, butæitæwas broken, so he had to stand instead.;;pulled;Sam;at;up/chair,to/piano;['lower place'];['unknown'];['piano', 'higher place']
motion;Sam pulled up a chair to the piano, butæitæwas broken, so he had to sing instead.;;pulled;Sam;at;up/chair,to/piano;['lower place'];['unknown'];['piano', 'higher place']
motion;Since it was raining, I carried the newspaper in my backpack to keepæitædry.;I;carried;newspaper;at;in/my backpack;['exterior of my backpack'];['portal of my backpack'];['interior of my backpack']
motion;Since it was raining, I carried the newspaper over my backpack to keepæitædry.;I;carried;newspaper;at;over/my backpack;['unknown'];['unknown'];['higher than']
motion;Jane knocked on the door, and Susan answered it.æSheæinvited her to come out.;;knocked;Jane;at;on/door;[];[];[]
motion;Jane knocked on the door, and Susan answered it.æSheæinvited her to come in.;;knocked;Jane;at;on/door;[];[];[]
motion;Mary tucked her daughter Anne into bed, so thatæsheæcould work.;Mary;tucked;her daughter Anne;at;into/bed;['exterior of bed'];['portal of bed'];['interior of bed']
motion;Mary tucked her daughter Anne into bed, so thatæsheæcould sleep.;Mary;tucked;her daughter Anne;at;into/bed;['exterior of bed'];['portal of bed'];['interior of bed']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot up.;;went;Fred,George;at;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot up.;;got;he;at;;['lower place'];['unknown'];['higher place']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot back.;;went;Fred,George;at;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;Fred watched TV while George went out to buy groceries. After an houræheægot back.;;got;he;at;;[];[];[]
motion;Look! There is a minnow swimming right below that duck!æItæhad better get away to safety fast!;;get;It;at;;[];[];[]
motion;Look! There is a shark swimming right below that duck!æItæhad better get away to safety fast!;;get;It;at;;[];[];[]
motion;I put the cake away in the refrigerator.æItæhas a lot of butter in it.;I;put;cake;at;away/refrigerator,in/refrigerator;['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;I put the cake away in the refrigerator.æItæhas a lot of butter in it.;I;put;['butter'];in;['it'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
motion;I put the cake away in the refrigerator.æItæhas a lot of leftovers in it.;I;put;cake;in;away/refrigerator,in/refrigerator;['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;I put the cake away in the refrigerator.æItæhas a lot of leftovers in it.;I;put;['lot of leftovers'];in;['it'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough ofæthem.;I;put;['chairs'];in;['auditorium'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough ofæthem.;I;put;['copies of our newsletter'];on;['chairs'];['exterior of refrigerator'];['portal of refrigerator'];['interior of refrigerator']
motion;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough ofæthem.;;hoped;We;on;;['unknown'];['unknown'];['unknown ground']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many ofæthem.;;hoped;['chairs'];in;['auditorium'];['unknown'];['unknown'];['unknown ground']
locative;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many ofæthem.;;hoped;['copies of our newsletter'];on;['chairs'];['unknown'];['unknown'];['unknown ground']
motion;We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many ofæthem.;;hoped;We;on;;['unknown'];['unknown'];['unknown ground']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæleft a hole.;I;stuck;pin;on;through/carrot;['one side of carrot'];['a new point inside of carrot'];['the other side of carrot']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæleft a hole.;I;pulled;pin;on;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæhad a hole.;I;stuck;pin;on;through/carrot;['one side of carrot'];['a new point inside of carrot'];['the other side of carrot']
motion;I stuck a pin through a carrot. When I pulled the pin out,æitæhad a hole.;I;pulled;pin;on;;['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
locative;As Andrea in the crop duster passed over Susan,æsheæcould see the landing strip.;I;pulled;['Andrea'];in;['crop duster'];['interior of unknown ground'];['portal of unknown ground'];['exterior of unknown ground']
motion;As Andrea in the crop duster passed over Susan,æsheæcould see the landing strip.;;passed;Andrea;in;over/Susan;['unknown'];['unknown'];['higher than']
locative;As Andrea in the crop duster passed over Susan,æsheæcould see the landing gear.;;passed;['Andrea'];in;['crop duster'];['unknown'];['unknown'];['higher than']
motion;As Andrea in the crop duster passed over Susan,æsheæcould see the landing gear.;;passed;Andrea;in;over/Susan;['unknown'];['unknown'];['higher than']
motion;Bill passed the half-empty plate to John becauseæheæwas full.;Bill;passed;half-empty plate;in;to/John;['unknown'];['unknown'];['John']
motion;Bill passed the half-empty plate to John becauseæheæwas hungry.;Bill;passed;half-empty plate;in;to/John;['unknown'];['unknown'];['John']
motion;Bill passed the gameboy to John becauseæhisæturn was over.;Bill;passed;gameboy;in;to/John;['unknown'];['unknown'];['John']
motion;Bill passed the gameboy to John becauseæhisæturn was next.;Bill;passed;gameboy;in;to/John;['unknown'];['unknown'];['John']
motion;The man lifted the boy ontoæhisæshoulders.;man;lifted;boy;in;onto/his shoulders;['unknown'];['unknown'];['surface of his shoulders']
motion;The man lifted the boy ontoæhisæbunk bed.;man;lifted;boy;in;onto/his bunk bed;['unknown'];['unknown'];['surface of his bunk bed']
motion;As Ollie carried Tommy up the long winding steps,æhisælegs ached.;Ollie;carried;Tommy;in;up/steps;['lower place'];['unknown'];['higher place']
motion;As Ollie carried Tommy up the long winding steps,æhisælegs dangled.;;carried;;in;up/long steps;['lower place'];['unknown'];['higher place']
locative;The father carried the sleeping boy inæhisæarms;;carried;['boy'];in;['his arms'];['lower place'];['unknown'];['higher place']
locative;The father carried the sleeping boy inæhisæbassinet.;;carried;['boy'];in;['his bassinet'];['lower place'];['unknown'];['higher place']
motion;Emma did not pass the ball to Janie althoughæsheæsaw that she was open.;Emma;pass;ball;in;to/Janie;['unknown'];['unknown'];['Janie']
motion;Emma did not pass the ball to Janie althoughæsheæwas open.;Emma;pass;ball;in;to/Janie;['unknown'];['unknown'];['Janie']
motion;I put the butterfly wing on the table andæitæbroke.;I;put;butterfly wing;in;on/table;[];[];[]
motion;I put the heavy book on the table andæitæbroke.;I;put;heavy book;in;on/table;[];[];[]